point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1656.160645,1509.895996,1643.122803,1515.111206,1666.590942,1528.149048,1627.477295,1549.009644,1656.160645,1562.047485,1624.869751,1595.946045,1635.300049,1489.0354,1601.401611,1499.465698,1598.793945,1499.465698,1570.110718,1569.870239,1677.02124,1499.465698,1690.059082,1572.477783,1690.059082,1575.085449,1661.375732,1635.05957
1655.928345,1503.508667,1643.196411,1511.147827,1663.567505,1521.333374,1625.371704,1544.250854,1658.474731,1554.436401,1627.918091,1592.632202,1627.918091,1480.591187,1630.464478,1483.137573,1594.815063,1503.508667,1569.351196,1572.261108,1676.299438,1493.32312,1678.845825,1513.694214,1689.031372,1574.807495,1661.021118,1628.281616
1656.150269,1494.447144,1642.147217,1506.116333,1665.485596,1510.783936,1628.144287,1538.790039,1663.151855,1545.791504,1632.81189,1587.800659,1625.810425,1475.776367,1625.810425,1475.776367,1588.468994,1517.785522,1569.798218,1571.463745,1684.156372,1489.779419,1684.156372,1487.445557,1719.16394,1543.457764,1665.485596,1606.471436
1650.5,1491.528564,1638.785767,1500.900024,1662.214233,1503.242798,1629.414307,1536.042847,1662.214233,1536.042847,1638.785767,1585.242798,1620.042847,1475.12854,1636.442871,1489.185669,1584.900024,1521.985718,1570.842896,1571.185669,1673.928589,1477.471436,1685.642822,1493.87146,1687.985718,1571.185669,1678.614258,1587.585571
1651.835205,1487.570313,1637.703735,1496.991455,1663.611572,1501.701904,1630.637939,1534.675537,1663.611572,1537.030762,1637.703735,1581.780518,1618.861694,1471.083618,1635.348389,1489.925659,1571.756592,1506.412354,1569.401367,1572.359619,1673.032471,1473.438843,1689.519287,1494.636108,1689.519287,1570.004272,1680.098267,1588.846313
1649.852539,1482.823853,1633.615967,1496.740845,1661.450073,1496.740845,1628.976929,1531.533447,1659.130615,1531.533447,1635.935547,1577.923584,1619.698975,1466.58728,1617.379395,1468.906738,1568.6698,1503.699341,1570.98938,1570.965088,1668.408569,1466.58728,1689.28418,1489.782349,1710.159668,1524.574951,1680.006104,1589.521118
1646.066162,1475.926636,1629.833008,1489.840698,1659.980347,1492.15979,1625.194946,1524.626099,1657.661255,1526.945068,1634.471069,1573.325562,1618.237915,1457.37439,1618.237915,1457.37439,1569.53833,1501.435791,1576.495483,1566.36853,1666.937378,1459.693359,1687.808594,1487.521729,1704.041748,1519.988037,1680.851563,1589.558716
1645.949951,1470.631592,1631.458984,1485.122559,1660.440918,1485.122559,1624.213623,1516.519531,1655.610596,1521.349854,1636.289307,1567.237793,1616.96814,1451.310425,1614.552979,1453.725586,1568.665039,1502.028687,1580.740845,1552.746826,1667.686279,1453.725586,1679.762085,1482.707397,1696.668213,1523.765015,1679.762085,1588.974121
1644.689209,1464.808472,1629.315308,1480.182495,1657.500854,1480.182495,1621.628296,1513.492676,1657.500854,1510.93042,1637.002319,1562.177002,1619.065918,1446.872192,1570.381714,1503.243408,1567.819458,1503.243408,1580.631104,1536.553711,1667.750244,1451.996826,1675.437134,1467.37085,1695.935791,1521.179688,1677.999512,1587.800171
1645.047119,1459.120239,1629.792969,1476.916748,1657.758911,1474.37439,1622.165894,1509.967407,1657.758911,1512.509766,1634.877686,1555.729858,1617.081177,1443.865967,1568.776245,1502.340332,1568.776245,1502.340332,1578.945801,1532.848633,1673.013062,1451.493164,1673.013062,1451.493164,1693.351929,1522.679199,1675.55542,1578.611206
