point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1134.54895,1022.917236,1127.288574,1037.43811,1149.069824,1032.5979,1127.288574,1071.32019,1163.590698,1061.639648,1166.010864,1110.04248,1107.927368,1010.816528,1100.666992,1022.917236,1086.145996,1064.059692,1134.54895,1124.563354,1153.910156,998.7158203,1166.010864,1020.497131,1202.312988,1018.076965,1209.573486,1114.882813
1134.531494,1020.735657,1127.267212,1035.264282,1151.481445,1028,1127.267212,1069.164307,1163.588623,1059.478638,1166.010132,1107.907227,1110.317139,1008.628479,1100.631348,1023.157104,1086.102783,1064.321411,1134.531494,1117.593018,1153.902954,996.5213013,1166.010132,1020.735657,1199.910156,1011.049927,1209.595825,1115.171509
1134.829346,1017.021423,1127.562622,1031.55481,1151.785034,1026.710327,1127.562622,1063.043945,1163.89624,1055.777222,1166.318481,1104.222046,1110.606934,1004.910217,1100.917969,1024.288086,1086.384644,1063.043945,1137.251587,1111.48877,1154.207275,992.7990112,1166.318481,1019.443665,1200.229858,1009.7547,1209.918701,1113.910889
1134.97998,1013.812622,1126.775635,1028.170288,1151.388672,1022.016968,1128.82666,1063.038696,1163.69519,1054.834351,1165.746338,1106.11145,1108.315918,1003.55719,1100.111572,1024.068115,1085.753906,1063.038696,1137.031006,1112.264771,1155.490845,987.1485596,1165.746338,1017.914795,1200.614746,1009.710449,1208.819092,1114.315796
1133.782593,1012.359314,1127.086426,1025.751709,1151.63916,1019.055542,1127.086426,1059.23291,1160.567505,1052.536621,1162.799561,1101.642212,1106.997681,1001.198975,1100.301514,1023.519714,1086.909058,1063.697021,1136.014648,1110.570557,1153.871216,985.5744629,1165.031616,1019.055542,1200.744873,1010.127258,1209.673096,1112.802612
1132.32251,1011.705811,1125.334961,1023.351624,1148.626709,1016.364136,1125.334961,1055.959961,1160.272583,1048.972534,1157.943359,1097.88501,1102.043335,1000.059937,1102.043335,1023.351624,1085.739136,1062.94751,1136.980835,1111.860107,1146.297485,981.4265747,1162.601685,1011.705811,1199.868408,1009.376648,1204.526733,1104.872559
1130.348999,1009.253235,1123.317139,1020.973145,1144.412964,1016.285217,1128.005127,1053.78894,1160.820801,1046.756958,1158.476807,1095.980591,1099.877319,997.5333252,1099.877319,1023.317139,1085.813354,1063.164917,1137.380981,1112.38855,1142.06897,978.7814941,1153.788818,997.5333252,1200.668457,1009.253235,1205.356445,1093.636597
1126.191284,1006.747925,1121.365845,1021.224365,1143.080444,1011.573425,1123.778564,1055.002686,1162.382446,1042.938965,1159.969604,1091.193848,1097.238403,999.5097046,1099.651123,1021.224365,1085.174805,1062.240967,1138.255005,1112.908447,1138.255005,975.3823242,1147.906006,977.7950439,1200.986206,1009.160645,1203.398926,1079.130127
1123.062256,1004.191772,1118.049683,1019.229553,1140.606323,1009.204407,1125.568481,1051.811401,1158.150269,1044.29248,1160.656616,1089.405762,1095.493042,999.1791992,1100.505615,1021.73584,1075.442627,1051.811401,1138.099976,1111.962402,1135.593628,974.116333,1145.618896,974.116333,1200.757324,1009.204407,1205.769897,1064.342773
1121.205322,1005.803589,1116.298584,1020.523499,1138.378418,1010.710205,1123.658569,1052.416626,1155.551636,1040.150024,1162.911621,1086.763062,1089.312134,1000.896973,1099.125488,1022.976807,1069.685669,1052.416626,1138.378418,1111.296143,1128.565186,973.9105225,1143.285156,976.3638306,1199.711426,1010.710205,1204.618042,1049.963257
