point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1193.276245,1658.802246,1187.94519,1682.792236,1227.928345,1664.133423,1227.928345,1704.116455,1227.928345,1704.116455,1190.610718,1666.79895,1179.948486,1674.795532,1257.249268,1637.477905,1259.914795,1754.761841,1227.928345,1610.82251,1257.249268,1709.447632,1257.249268,1637.477905,1257.249268,1757.427368,1227.928345,1608.156982
1191.488647,1658.562256,1183.719971,1676.689087,1183.719971,1676.689087,1230.331787,1663.741455,1227.742188,1707.76355,1186.30957,1671.51001,1318.375977,1790.628784,1253.637573,1637.845947,1227.742188,1611.950684,1227.742188,1611.950684,1163.003662,1705.174072,1253.637573,1637.845947,1258.81665,1756.964844,1157.824707,1707.76355
1258.131714,1690.66394,1255.602295,1678.016602,1237.895874,1705.84082,1227.777954,1667.898682,1235.366455,1705.84082,1184.776855,1675.487061,1235.366455,1635.015381,1232.836914,1637.544922,1230.307373,1609.720581,1227.777954,1607.191162,1230.307373,1662.8396,1258.131714,1753.900879,1258.131714,1756.43042,1159.481934,1708.370361
1185.872559,1663.67041,1181.20874,1686.989502,1181.20874,1684.657593,1225.515015,1668.334229,1225.515015,1705.644775,1185.872559,1663.67041,1220.851196,1619.364258,1220.851196,1619.364258,1230.178833,1612.36853,1227.846924,1612.36853,1220.851196,1621.696045,1258.161743,1752.282837,1258.161743,1756.946655,1157.889771,1707.976685
1187.942627,1663.660034,1250.768433,1674.586304,1220.721313,1663.660034,1226.184448,1701.901855,1223.452881,1666.391602,1182.479492,1671.854736,1177.016357,1677.317871,1157.895386,1707.36499,1228.916016,1611.760376,1163.358521,1707.36499,1160.626953,1710.096558,1231.647461,1655.465332,1258.963135,1753.801514,1231.647461,1658.196899
1189.758789,1661.54895,1250.736816,1669.171265,1235.492188,1699.660278,1232.951538,1702.20105,1222.788452,1664.089722,1184.677246,1666.630493,1235.492188,1623.437744,1230.410767,1613.274658,1230.410767,1610.734009,1316.796265,1798.749512,1316.796265,1793.668091,1156.729004,1704.741699,1156.729004,1707.282471,1316.796265,1793.668091
1184.860962,1664.884033,1253.937012,1664.884033,1253.937012,1664.884033,1221.865967,1659.950073,1231.734009,1701.889038,1184.860962,1679.686035,1170.05896,1684.619995,1229.266968,1610.609985,1229.266968,1610.609985,1157.723877,1709.290039,1165.124878,1687.087036,1258.871094,1751.229126,1258.871094,1753.696167,1157.723877,1709.290039
1183.881104,1669.361694,1186.522827,1693.137085,1181.23938,1682.57019,1226.148438,1661.436523,1234.073608,1698.420532,1183.881104,1679.928467,1241.998779,1616.527466,1228.790161,1613.885742,1228.790161,1611.244019,1160.105713,1708.987305,1218.223389,1661.436523,1257.848999,1753.896484,1257.848999,1753.896484,1160.105713,1708.987305
1184.68811,1666.887939,1251.099243,1664.333618,1233.21936,1697.539185,1223.002197,1659.225098,1230.665039,1700.093506,1182.133789,1684.767822,1238.327881,1613.248047,1228.110718,1613.248047,1230.665039,1608.139526,1159.145264,1710.310547,1317.510376,1797.155884,1164.253906,1702.647705,1258.762085,1751.178955,1159.145264,1707.756348
1255.173828,1684.355591,1247.48584,1663.85437,1180.856934,1684.355591,1221.859375,1658.729126,1226.984741,1697.168823,1183.419678,1686.918213,1319.240112,1791.986938,1229.547363,1612.601318,1237.235229,1599.788086,1162.918457,1709.982056,1319.240112,1791.986938,1257.73645,1750.984497,1257.73645,1750.984497,1162.918457,1712.544678
