point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1474.659912,1333.51709,1484.45874,1351.155029,1490.338013,1329.597656,1513.855225,1366.83313,1525.61377,1331.557373,1556.969971,1366.83313,1455.062256,1360.953857,1484.45874,1384.471069,1486.418457,1386.430786,1562.849365,1396.229614,1455.062256,1360.953857,1482.498901,1311.959717,1509.935669,1296.281616,1590.286011,1319.798828
1473.890259,1332.889648,1481.682373,1348.473877,1491.422485,1330.94165,1512.85083,1367.954224,1526.487061,1332.889648,1555.70752,1367.954224,1456.35791,1356.266113,1520.642944,1389.382568,1487.526489,1389.382568,1489.474487,1389.382568,1454.409912,1358.214111,1483.630371,1313.409424,1512.85083,1286.136963,1590.772095,1319.253418
1474.271973,1332.178467,1480.022339,1349.429688,1491.523071,1332.178467,1512.607788,1368.597656,1524.108643,1332.178467,1556.694214,1368.597656,1458.9375,1359.013672,1458.9375,1357.096802,1497.273438,1397.349609,1499.190308,1397.349609,1480.022339,1314.927368,1481.939087,1313.010498,1514.524658,1303.426514,1591.196533,1318.760864
1475.281616,1333.115967,1481.611328,1349.995117,1492.160767,1331.005981,1511.149902,1368.984131,1523.809204,1333.115967,1557.567627,1366.874268,1458.402466,1358.434692,1481.611328,1312.016968,1521.699341,1400.632568,1559.67749,1396.412842,1479.501343,1312.016968,1502.710205,1303.577393,1504.82019,1305.687256,1593.435791,1318.34668
1475.125,1334.129028,1481.741943,1349.568604,1490.564697,1331.92334,1510.415649,1367.213989,1517.032593,1331.92334,1556.734619,1367.213989,1457.479614,1358.391357,1481.741943,1314.277954,1525.855225,1406.916016,1561.145996,1395.887573,1483.947632,1312.072388,1497.181641,1296.63269,1479.536255,1312.072388,1592.025269,1318.689331
1473.858765,1331.776489,1480.291626,1348.930664,1491.012939,1331.776489,1510.311401,1370.373413,1518.88855,1333.920776,1557.485352,1366.084839,1456.70459,1357.507813,1480.291626,1312.478027,1480.291626,1312.478027,1538.187012,1404.681763,1486.724487,1310.33374,1495.301514,1297.46814,1482.435913,1310.33374,1591.793701,1318.910889
1472.648926,1333.54187,1481.488037,1353.429688,1490.327026,1333.54187,1508.005249,1368.898071,1519.054077,1335.751587,1554.410278,1366.688354,1457.180664,1357.849243,1481.488037,1315.86377,1457.180664,1355.639526,1538.941895,1406.464111,1483.697754,1309.234375,1496.956421,1295.97583,1492.536865,1295.97583,1591.976318,1318.073486
1467.496094,1336.370361,1475.984375,1355.469116,1484.472778,1334.248169,1505.693726,1372.445923,1516.304199,1336.370361,1552.379883,1368.201782,1450.519287,1355.469116,1448.397217,1355.469116,1475.984375,1385.178467,1539.647339,1406.399414,1439.908813,1327.881958,1495.083252,1296.050537,1495.083252,1296.050537,1582.089233,1319.393555
1463.035156,1342.721558,1472.904907,1358.513184,1480.800659,1336.799683,1506.462158,1376.278809,1512.384033,1338.773682,1549.88916,1372.330933,1457.113281,1360.487183,1459.087158,1358.513184,1476.852783,1390.096436,1541.993286,1405.888184,1439.347656,1324.955933,1494.618408,1299.294556,1470.930908,1326.929932,1567.654785,1311.138306
1461.982788,1343.927002,1472.842896,1363.475098,1481.530884,1337.410889,1501.078979,1378.679199,1509.76709,1339.582886,1548.863281,1367.819092,1440.262695,1361.302979,1453.294678,1361.302979,1509.76709,1339.582886,1535.831177,1248.358398,1472.842896,1330.894897,1494.562988,1300.486694,1492.390991,1300.486694,1555.379272,1300.486694
1458.036987,1349.300049,1469.82373,1365.015747,1483.574951,1339.477783,1503.219482,1380.731323,1507.148438,1341.442261,1546.4375,1368.94458,1432.499023,1366.980225,1473.752563,1329.655518,1471.788086,1366.980225,1544.473022,1402.340332,1471.788086,1331.619873,1493.397217,1300.188599,1493.397217,1300.188599,1524.828491,1300.188599
1456.201782,1349.773315,1469.721802,1365.546631,1476.481689,1338.506714,1503.521729,1379.06665,1508.02832,1340.76001,1546.334839,1365.546631,1433.668579,1367.799927,1476.481689,1385.826538,1476.481689,1383.573242,1476.481689,1385.826538,1510.281616,1286.680176,1492.255005,1302.453491,1510.281616,1288.933594,1510.281616,1288.933594
1455.307861,1347.834961,1466.96814,1368.823608,1480.960571,1338.506714,1501.949219,1380.483887,1506.613281,1340.838745,1546.258423,1364.159424,1434.319214,1375.819824,1492.62085,1303.525635,1508.945313,1329.178467,1539.262207,1238.227783,1541.59436,1235.895752,1490.288818,1303.525635,1508.945313,1284.869141,1539.262207,1235.895752
1455.804077,1347.589966,1466.835571,1367.446777,1482.279785,1338.764771,1497.723877,1380.68457,1506.549194,1340.971069,1544.056396,1363.03418,1433.740967,1380.68457,1449.185059,1358.62146,1539.643799,1402.747681,1539.643799,1404.953979,1475.660767,1325.526855,1491.10498,1316.70166,1506.549194,1283.607056,1497.723877,1380.68457
