point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y,point5_x,point5_y,point6_x,point6_y,point7_x,point7_y,point8_x,point8_y,point9_x,point9_y,point10_x,point10_y,point11_x,point11_y,point12_x,point12_y,point13_x,point13_y,point14_x,point14_y
1358.973022,1712.293213,1358.973022,1731.76001,1376.00647,1712.293213,1378.439819,1760.960205,1405.206665,1736.626709,1431.973511,1785.293701,1332.206177,1724.459961,1337.072876,1734.193359,1341.939575,1780.427002,1390.606567,1812.060547,1361.406372,1687.959717,1419.806763,1675.792969,1419.806763,1675.792969,1480.640503,1763.393555
1352.05481,1710.804565,1352.05481,1728.621338,1369.871582,1710.804565,1374.962158,1759.164429,1400.414673,1733.711914,1425.86731,1779.526611,1321.511597,1723.530884,1336.783203,1733.711914,1329.147461,1774.436035,1390.233643,1810.069702,1357.145264,1687.897217,1364.781006,1687.897217,1420.776733,1675.170898,1458.955688,1751.528687
1343.874023,1711.524658,1346.349609,1731.328979,1358.727295,1709.049072,1368.629395,1756.084351,1393.384766,1726.37793,1423.091309,1773.413086,1316.643188,1726.37793,1336.44751,1733.804443,1316.643188,1778.364136,1390.909302,1810.546143,1338.922974,1686.769287,1351.300659,1679.342651,1420.615723,1674.391602,1455.273315,1738.755615
1336.5979,1709.648804,1341.717407,1730.126831,1349.396729,1707.088989,1362.195435,1753.164551,1382.673462,1717.328003,1415.950195,1765.963257,1316.119873,1727.567017,1313.560181,1778.762085,1316.119873,1786.441284,1390.352661,1812.038818,1334.038208,1676.37207,1334.038208,1671.252563,1421.069702,1673.812256,1433.868408,1717.328003
1327.017822,1708.284546,1334.572998,1728.431519,1344.646484,1703.247803,1357.238281,1751.096802,1377.385254,1715.8396,1410.124023,1758.651855,1314.426025,1728.431519,1311.907593,1781.317261,1314.426025,1783.835571,1389.977051,1811.537598,1324.499512,1683.10083,1332.054565,1670.509033,1420.19751,1675.545776,1427.752563,1713.321289
1325.596924,1705.871948,1330.395752,1725.066895,1342.392578,1701.07312,1359.188232,1746.661255,1373.584473,1715.46936,1409.575073,1753.859375,1315.999512,1727.466309,1332.795044,1667.481934,1315.999512,1789.849976,1390.380005,1811.444336,1323.197632,1681.878174,1332.795044,1669.881348,1419.172485,1677.079468,1428.77002,1713.070068
1325.38562,1706.454468,1330.506714,1726.938965,1343.309448,1701.333374,1356.112305,1747.42334,1374.036133,1711.575562,1402.202271,1755.105103,1304.901123,1726.938965,1315.143311,1778.150146,1315.143311,1788.392334,1394.52063,1811.437378,1320.264404,1680.848877,1333.067261,1670.606689,1399.641724,1662.925049,1427.807861,1711.575562
1328.408569,1704.366943,1331.056885,1720.256836,1346.946777,1701.718628,1354.891724,1746.73999,1378.726563,1714.960205,1405.209717,1754.684937,1304.57373,1672.58728,1317.815308,1728.201782,1320.463623,1778.519775,1391.96814,1810.299438,1325.760254,1677.883789,1331.056885,1669.938965,1394.616455,1659.345703,1429.044434,1712.31189
1327.32251,1698.981079,1329.816772,1716.440552,1342.287842,1696.486816,1357.253174,1741.38269,1374.712646,1711.452148,1402.148926,1753.85376,1307.368896,1671.544678,1317.345703,1731.405762,1322.334106,1778.795898,1392.172119,1803.738037,1309.863037,1669.050415,1332.311035,1669.050415,1392.172119,1654.085205,1427.091064,1713.946289
1330.687012,1697.987793,1333.048462,1714.518433,1344.856201,1693.264648,1356.663818,1740.495361,1375.556152,1709.79541,1403.894531,1749.941528,1314.15625,1716.880005,1316.517822,1728.687622,1323.602417,1778.279907,1380.279175,1792.449097,1330.687012,1669.649292,1330.687012,1669.649292,1394.448364,1648.395508,1427.509888,1712.156982
