rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
132.0,423.0,147.0,401.0,163.0,438.0,164.0,416.0,132.0,401.0,180.0,431.0,164.0,424.0,147.0,416.0
132.0,423.0,147.0,408.0,164.0,438.0,171.0,416.0,131.0,408.0,187.0,431.0,171.0,430.0,147.0,423.0
132.0,423.0,148.0,408.0,171.0,438.0,172.0,416.0,132.0,408.0,188.0,430.0,172.0,424.0,148.0,423.0
140.0,431.0,148.0,408.0,172.0,438.0,172.0,416.0,132.0,416.0,188.0,430.0,179.0,423.0,155.0,423.0
148.0,438.0,155.0,408.0,172.0,438.0,179.0,416.0,132.0,416.0,195.0,424.0,179.0,423.0,155.0,423.0
148.0,438.0,155.0,408.0,179.0,438.0,179.0,416.0,139.0,415.0,196.0,424.0,180.0,423.0,156.0,423.0
148.0,438.0,156.0,416.0,180.0,438.0,179.0,416.0,139.0,416.0,196.0,424.0,180.0,423.0,163.0,430.0
156.0,446.0,156.0,416.0,180.0,438.0,179.0,416.0,140.0,416.0,203.0,430.0,187.0,430.0,163.0,431.0
163.0,446.0,156.0,416.0,187.0,438.0,180.0,423.0,140.0,423.0,203.0,430.0,187.0,431.0,163.0,431.0
163.0,446.0,156.0,416.0,188.0,439.0,180.0,423.0,140.0,423.0,203.0,430.0,188.0,431.0,164.0,431.0
163.0,446.0,163.0,416.0,188.0,445.0,187.0,423.0,147.0,423.0,204.0,430.0,195.0,431.0,164.0,431.0
164.0,446.0,164.0,423.0,195.0,439.0,188.0,423.0,148.0,430.0,204.0,424.0,195.0,431.0,171.0,438.0
171.0,453.0,171.0,423.0,196.0,445.0,195.0,423.0,155.0,431.0,212.0,424.0,196.0,431.0,179.0,438.0
172.0,453.0,172.0,423.0,203.0,439.0,196.0,423.0,155.0,431.0,219.0,430.0,203.0,431.0,179.0,438.0
172.0,453.0,179.0,423.0,204.0,445.0,196.0,423.0,156.0,431.0,220.0,424.0,204.0,431.0,180.0,438.0
172.0,446.0,179.0,423.0,204.0,446.0,203.0,423.0,156.0,431.0,227.0,424.0,211.0,431.0,180.0,438.0
179.0,446.0,180.0,423.0,204.0,446.0,203.0,423.0,163.0,431.0,227.0,423.0,212.0,431.0,187.0,438.0
187.0,453.0,180.0,423.0,212.0,439.0,203.0,423.0,164.0,431.0,227.0,423.0,212.0,431.0,188.0,438.0
188.0,453.0,187.0,424.0,212.0,438.0,204.0,423.0,171.0,431.0,228.0,423.0,212.0,431.0,195.0,438.0
188.0,453.0,187.0,430.0,219.0,438.0,204.0,423.0,171.0,431.0,228.0,423.0,212.0,431.0,195.0,438.0
188.0,453.0,187.0,430.0,220.0,439.0,211.0,423.0,171.0,438.0,235.0,423.0,219.0,431.0,195.0,438.0
188.0,453.0,188.0,431.0,220.0,445.0,212.0,423.0,172.0,438.0,236.0,423.0,220.0,431.0,196.0,438.0
195.0,453.0,188.0,431.0,220.0,446.0,219.0,423.0,172.0,438.0,243.0,430.0,227.0,431.0,196.0,438.0
