rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
500.0,63.0,476.0,71.0,484.0,41.0,468.0,48.0,492.0,85.0,467.0,33.0,475.0,41.0,484.0,63.0
499.0,63.0,476.0,71.0,483.0,41.0,467.0,49.0,492.0,85.0,460.0,34.0,475.0,41.0,484.0,63.0
499.0,63.0,476.0,71.0,476.0,41.0,467.0,55.0,492.0,79.0,460.0,34.0,468.0,41.0,484.0,56.0
499.0,63.0,476.0,71.0,476.0,41.0,467.0,56.0,492.0,79.0,459.0,41.0,468.0,48.0,484.0,63.0
499.0,63.0,476.0,71.0,476.0,41.0,467.0,56.0,492.0,78.0,459.0,41.0,468.0,48.0,484.0,56.0
499.0,56.0,476.0,71.0,475.0,41.0,467.0,56.0,492.0,78.0,452.0,48.0,467.0,48.0,484.0,56.0
491.0,49.0,476.0,71.0,468.0,41.0,460.0,56.0,492.0,78.0,451.0,48.0,460.0,48.0,483.0,56.0
492.0,56.0,475.0,71.0,467.0,41.0,459.0,56.0,492.0,78.0,443.0,48.0,459.0,48.0,476.0,56.0
484.0,48.0,468.0,71.0,460.0,41.0,452.0,56.0,491.0,78.0,443.0,48.0,452.0,48.0,476.0,56.0
483.0,48.0,468.0,71.0,459.0,41.0,451.0,56.0,491.0,78.0,435.0,48.0,451.0,48.0,475.0,56.0
483.0,48.0,467.0,71.0,452.0,41.0,444.0,56.0,491.0,71.0,428.0,48.0,444.0,48.0,468.0,56.0
483.0,48.0,467.0,71.0,451.0,41.0,443.0,56.0,491.0,71.0,427.0,48.0,443.0,48.0,468.0,56.0
468.0,41.0,467.0,71.0,444.0,41.0,443.0,63.0,484.0,71.0,427.0,56.0,436.0,48.0,467.0,55.0
467.0,41.0,460.0,71.0,436.0,41.0,436.0,63.0,483.0,63.0,420.0,63.0,435.0,49.0,460.0,49.0
467.0,41.0,460.0,70.0,435.0,41.0,436.0,63.0,476.0,63.0,420.0,63.0,435.0,55.0,459.0,48.0
460.0,41.0,459.0,63.0,435.0,41.0,435.0,63.0,476.0,63.0,419.0,63.0,428.0,49.0,452.0,48.0
459.0,41.0,452.0,63.0,427.0,41.0,428.0,63.0,475.0,56.0,411.0,63.0,420.0,55.0,451.0,48.0
451.0,41.0,451.0,63.0,420.0,41.0,420.0,63.0,468.0,56.0,404.0,63.0,419.0,55.0,444.0,48.0
451.0,41.0,444.0,64.0,419.0,41.0,419.0,63.0,467.0,56.0,403.0,63.0,412.0,55.0,436.0,55.0
443.0,41.0,443.0,64.0,419.0,41.0,412.0,63.0,460.0,56.0,396.0,63.0,411.0,55.0,436.0,55.0
436.0,41.0,436.0,63.0,411.0,48.0,404.0,63.0,459.0,56.0,388.0,63.0,404.0,56.0,435.0,49.0
435.0,41.0,435.0,63.0,403.0,48.0,403.0,63.0,451.0,55.0,387.0,63.0,396.0,56.0,427.0,48.0
427.0,34.0,427.0,63.0,396.0,48.0,403.0,63.0,444.0,48.0,380.0,63.0,395.0,56.0,420.0,48.0
419.0,34.0,420.0,63.0,388.0,48.0,395.0,70.0,443.0,48.0,372.0,63.0,388.0,56.0,412.0,48.0
412.0,34.0,419.0,63.0,387.0,48.0,388.0,71.0,436.0,48.0,371.0,64.0,387.0,56.0,411.0,48.0
411.0,34.0,412.0,63.0,380.0,48.0,388.0,71.0,435.0,48.0,364.0,63.0,380.0,56.0,404.0,48.0
404.0,41.0,411.0,63.0,379.0,48.0,387.0,71.0,428.0,48.0,364.0,70.0,379.0,56.0,403.0,48.0
403.0,41.0,404.0,63.0,371.0,48.0,372.0,71.0,420.0,48.0,355.0,64.0,371.0,56.0,395.0,49.0
395.0,41.0,403.0,63.0,371.0,48.0,371.0,71.0,412.0,48.0,348.0,63.0,364.0,63.0,388.0,56.0
388.0,41.0,396.0,63.0,363.0,48.0,364.0,71.0,411.0,48.0,347.0,63.0,356.0,63.0,387.0,56.0
387.0,41.0,395.0,63.0,356.0,55.0,363.0,71.0,404.0,48.0,340.0,70.0,355.0,63.0,380.0,56.0
387.0,41.0,388.0,63.0,355.0,56.0,363.0,71.0,403.0,48.0,339.0,71.0,355.0,63.0,379.0,55.0
379.0,41.0,380.0,63.0,347.0,56.0,355.0,71.0,396.0,48.0,331.0,71.0,340.0,63.0,371.0,56.0
371.0,41.0,379.0,63.0,339.0,56.0,348.0,71.0,395.0,48.0,331.0,78.0,339.0,63.0,364.0,55.0
364.0,41.0,372.0,63.0,332.0,63.0,340.0,78.0,387.0,48.0,323.0,78.0,332.0,71.0,363.0,56.0
356.0,48.0,364.0,71.0,331.0,63.0,339.0,78.0,379.0,49.0,316.0,78.0,331.0,71.0,355.0,56.0
355.0,48.0,363.0,71.0,324.0,63.0,332.0,79.0,372.0,56.0,315.0,85.0,323.0,78.0,348.0,63.0
348.0,49.0,355.0,78.0,323.0,63.0,324.0,86.0,371.0,56.0,307.0,86.0,316.0,78.0,347.0,63.0
340.0,56.0,355.0,78.0,316.0,64.0,323.0,86.0,371.0,63.0,300.0,86.0,315.0,78.0,340.0,64.0
340.0,56.0,348.0,78.0,308.0,71.0,323.0,86.0,364.0,63.0,299.0,93.0,308.0,79.0,339.0,70.0
339.0,56.0,347.0,78.0,308.0,71.0,316.0,93.0,363.0,63.0,292.0,93.0,308.0,86.0,332.0,71.0
332.0,56.0,340.0,79.0,307.0,78.0,315.0,93.0,356.0,63.0,291.0,93.0,307.0,86.0,331.0,71.0
332.0,56.0,340.0,78.0,300.0,78.0,315.0,93.0,355.0,63.0,292.0,101.0,307.0,86.0,324.0,71.0
323.0,63.0,339.0,78.0,299.0,85.0,308.0,100.0,348.0,63.0,291.0,101.0,300.0,93.0,323.0,71.0
323.0,63.0,331.0,86.0,292.0,86.0,307.0,101.0,347.0,64.0,291.0,108.0,292.0,93.0,316.0,78.0
323.0,63.0,331.0,86.0,291.0,86.0,300.0,101.0,340.0,71.0,283.0,108.0,291.0,100.0,315.0,78.0
316.0,64.0,323.0,93.0,284.0,93.0,292.0,108.0,339.0,71.0,275.0,109.0,284.0,101.0,308.0,79.0
308.0,71.0,316.0,93.0,283.0,93.0,292.0,108.0,332.0,71.0,275.0,116.0,284.0,101.0,307.0,86.0
300.0,78.0,315.0,93.0,276.0,94.0,284.0,109.0,331.0,78.0,267.0,116.0,276.0,108.0,300.0,86.0
300.0,78.0,315.0,93.0,268.0,101.0,283.0,116.0,323.0,78.0,260.0,123.0,275.0,108.0,299.0,93.0
292.0,78.0,307.0,100.0,268.0,101.0,284.0,116.0,316.0,78.0,260.0,123.0,275.0,115.0,292.0,93.0
292.0,78.0,307.0,100.0,267.0,108.0,284.0,116.0,315.0,78.0,267.0,131.0,275.0,116.0,291.0,93.0
284.0,86.0,300.0,101.0,260.0,109.0,276.0,123.0,308.0,79.0,267.0,138.0,267.0,123.0,284.0,94.0
284.0,86.0,299.0,101.0,260.0,123.0,276.0,130.0,307.0,86.0,267.0,138.0,268.0,124.0,284.0,101.0
276.0,93.0,299.0,108.0,260.0,123.0,276.0,131.0,300.0,86.0,260.0,146.0,267.0,131.0,283.0,101.0
276.0,93.0,292.0,115.0,259.0,123.0,276.0,131.0,300.0,93.0,259.0,146.0,267.0,131.0,276.0,108.0
276.0,94.0,292.0,115.0,259.0,131.0,275.0,138.0,299.0,93.0,252.0,153.0,260.0,138.0,276.0,109.0
275.0,100.0,291.0,116.0,252.0,138.0,275.0,138.0,299.0,93.0,259.0,154.0,260.0,138.0,275.0,115.0
267.0,108.0,291.0,116.0,251.0,138.0,267.0,146.0,292.0,94.0,252.0,161.0,252.0,146.0,268.0,116.0
267.0,108.0,284.0,123.0,251.0,138.0,267.0,146.0,284.0,101.0,244.0,161.0,252.0,146.0,268.0,123.0
260.0,116.0,283.0,123.0,244.0,146.0,260.0,154.0,283.0,101.0,244.0,169.0,251.0,154.0,268.0,123.0
259.0,116.0,276.0,131.0,244.0,153.0,260.0,161.0,276.0,108.0,244.0,176.0,251.0,161.0,260.0,131.0
252.0,123.0,275.0,131.0,243.0,154.0,260.0,161.0,275.0,108.0,244.0,183.0,251.0,168.0,260.0,138.0
252.0,124.0,275.0,138.0,243.0,161.0,260.0,168.0,268.0,116.0,244.0,190.0,251.0,168.0,260.0,138.0
252.0,131.0,275.0,138.0,243.0,168.0,260.0,176.0,268.0,116.0,251.0,191.0,251.0,176.0,259.0,146.0
251.0,138.0,268.0,146.0,243.0,176.0,260.0,176.0,268.0,123.0,251.0,198.0,251.0,176.0,259.0,146.0
252.0,138.0,268.0,153.0,243.0,176.0,260.0,183.0,268.0,123.0,251.0,198.0,251.0,183.0,259.0,146.0
252.0,145.0,268.0,153.0,243.0,183.0,260.0,183.0,268.0,130.0,252.0,199.0,251.0,190.0,259.0,153.0
252.0,146.0,268.0,153.0,243.0,183.0,260.0,190.0,268.0,131.0,252.0,206.0,251.0,191.0,252.0,161.0
244.0,153.0,267.0,161.0,243.0,184.0,260.0,191.0,267.0,138.0,259.0,206.0,251.0,191.0,252.0,168.0
244.0,154.0,267.0,161.0,244.0,191.0,260.0,191.0,267.0,138.0,259.0,206.0,252.0,198.0,252.0,168.0
244.0,161.0,268.0,168.0,244.0,198.0,267.0,198.0,260.0,139.0,259.0,220.0,252.0,199.0,252.0,175.0
244.0,161.0,267.0,168.0,251.0,206.0,267.0,205.0,259.0,146.0,260.0,221.0,259.0,206.0,252.0,176.0
243.0,168.0,267.0,169.0,244.0,206.0,267.0,206.0,259.0,146.0,259.0,221.0,252.0,206.0,252.0,176.0
244.0,169.0,267.0,176.0,251.0,213.0,267.0,213.0,259.0,153.0,259.0,228.0,259.0,213.0,252.0,183.0
243.0,176.0,267.0,183.0,251.0,221.0,267.0,213.0,259.0,160.0,260.0,229.0,259.0,221.0,252.0,191.0
243.0,183.0,267.0,183.0,251.0,221.0,267.0,221.0,252.0,161.0,259.0,236.0,259.0,221.0,252.0,191.0
244.0,184.0,267.0,184.0,251.0,228.0,268.0,228.0,252.0,168.0,259.0,243.0,259.0,228.0,259.0,198.0
244.0,191.0,267.0,184.0,251.0,229.0,268.0,229.0,252.0,168.0,260.0,251.0,259.0,236.0,259.0,199.0
244.0,191.0,268.0,191.0,251.0,236.0,268.0,236.0,259.0,176.0,260.0,251.0,259.0,236.0,259.0,206.0
244.0,198.0,268.0,198.0,251.0,236.0,267.0,236.0,259.0,176.0,259.0,251.0,259.0,236.0,259.0,206.0
251.0,199.0,268.0,198.0,251.0,243.0,267.0,243.0,259.0,183.0,259.0,258.0,259.0,243.0,259.0,213.0
251.0,206.0,268.0,206.0,251.0,251.0,267.0,251.0,259.0,190.0,259.0,266.0,259.0,251.0,259.0,221.0
244.0,213.0,267.0,213.0,251.0,251.0,268.0,251.0,259.0,198.0,260.0,266.0,259.0,251.0,259.0,228.0
244.0,221.0,268.0,221.0,251.0,258.0,268.0,258.0,259.0,199.0,260.0,273.0,259.0,258.0,259.0,229.0
244.0,221.0,268.0,228.0,251.0,266.0,268.0,259.0,252.0,206.0,260.0,281.0,259.0,266.0,259.0,236.0
244.0,228.0,267.0,228.0,251.0,266.0,267.0,266.0,252.0,206.0,260.0,288.0,259.0,273.0,259.0,243.0
244.0,229.0,267.0,236.0,251.0,274.0,267.0,273.0,252.0,213.0,259.0,288.0,259.0,273.0,259.0,243.0
244.0,236.0,267.0,236.0,251.0,281.0,267.0,281.0,252.0,221.0,259.0,296.0,259.0,281.0,259.0,251.0
244.0,243.0,267.0,243.0,251.0,281.0,267.0,281.0,259.0,228.0,252.0,303.0,259.0,288.0,259.0,251.0
251.0,243.0,268.0,250.0,251.0,288.0,267.0,288.0,259.0,228.0,259.0,304.0,259.0,289.0,259.0,258.0
251.0,251.0,268.0,251.0,251.0,289.0,267.0,289.0,260.0,236.0,259.0,311.0,259.0,296.0,259.0,266.0
251.0,258.0,268.0,259.0,251.0,296.0,267.0,296.0,259.0,243.0,259.0,318.0,259.0,303.0,259.0,273.0
244.0,266.0,268.0,273.0,251.0,303.0,267.0,303.0,259.0,250.0,259.0,319.0,259.0,310.0,259.0,274.0
244.0,273.0,267.0,273.0,251.0,304.0,267.0,304.0,259.0,251.0,259.0,326.0,259.0,311.0,259.0,281.0
244.0,273.0,267.0,273.0,251.0,311.0,267.0,311.0,259.0,258.0,260.0,326.0,259.0,311.0,259.0,281.0
244.0,281.0,268.0,281.0,251.0,318.0,268.0,318.0,259.0,265.0,260.0,334.0,259.0,319.0,259.0,289.0
244.0,288.0,268.0,288.0,251.0,325.0,267.0,319.0,259.0,266.0,260.0,341.0,259.0,326.0,259.0,296.0
244.0,288.0,267.0,288.0,251.0,326.0,267.0,326.0,259.0,266.0,259.0,341.0,259.0,326.0,259.0,296.0
244.0,289.0,267.0,289.0,251.0,326.0,267.0,333.0,252.0,273.0,259.0,348.0,259.0,333.0,259.0,303.0
244.0,296.0,268.0,303.0,251.0,333.0,267.0,333.0,259.0,280.0,259.0,349.0,259.0,334.0,259.0,304.0
244.0,303.0,268.0,303.0,251.0,341.0,267.0,340.0,259.0,281.0,259.0,356.0,259.0,341.0,259.0,311.0
244.0,303.0,268.0,304.0,251.0,341.0,268.0,348.0,260.0,288.0,259.0,363.0,259.0,348.0,259.0,318.0
244.0,304.0,268.0,311.0,251.0,348.0,268.0,348.0,259.0,288.0,260.0,371.0,259.0,356.0,259.0,319.0
244.0,318.0,268.0,318.0,251.0,355.0,268.0,355.0,259.0,296.0,267.0,371.0,259.0,356.0,259.0,326.0
244.0,318.0,268.0,318.0,251.0,356.0,268.0,356.0,259.0,303.0,260.0,378.0,259.0,363.0,259.0,326.0
244.0,325.0,267.0,319.0,251.0,356.0,268.0,356.0,252.0,303.0,260.0,378.0,259.0,363.0,259.0,333.0
244.0,326.0,267.0,326.0,251.0,363.0,268.0,363.0,252.0,310.0,260.0,378.0,260.0,363.0,259.0,340.0
244.0,333.0,267.0,333.0,251.0,364.0,268.0,363.0,252.0,311.0,260.0,379.0,260.0,364.0,259.0,341.0
244.0,333.0,267.0,333.0,252.0,371.0,275.0,356.0,259.0,318.0,267.0,378.0,267.0,363.0,259.0,348.0
251.0,334.0,267.0,333.0,259.0,371.0,275.0,363.0,259.0,318.0,268.0,378.0,267.0,363.0,260.0,348.0
251.0,340.0,268.0,334.0,252.0,371.0,275.0,363.0,260.0,319.0,267.0,379.0,267.0,370.0,260.0,348.0
251.0,341.0,268.0,340.0,252.0,371.0,275.0,371.0,260.0,325.0,267.0,386.0,267.0,371.0,260.0,348.0
251.0,341.0,268.0,340.0,252.0,371.0,276.0,371.0,260.0,325.0,267.0,386.0,267.0,371.0,260.0,348.0
251.0,341.0,268.0,341.0,259.0,371.0,276.0,371.0,260.0,326.0,268.0,386.0,267.0,371.0,260.0,349.0
251.0,341.0,268.0,341.0,259.0,371.0,276.0,371.0,260.0,326.0,275.0,386.0,268.0,371.0,260.0,349.0
244.0,348.0,268.0,341.0,259.0,378.0,276.0,371.0,260.0,326.0,276.0,386.0,268.0,371.0,260.0,355.0
244.0,348.0,268.0,341.0,260.0,378.0,276.0,371.0,259.0,326.0,283.0,386.0,268.0,378.0,260.0,355.0
244.0,348.0,268.0,341.0,260.0,378.0,276.0,371.0,259.0,326.0,283.0,386.0,275.0,371.0,260.0,356.0
244.0,348.0,268.0,341.0,267.0,379.0,276.0,371.0,259.0,326.0,284.0,386.0,275.0,378.0,260.0,356.0
244.0,348.0,268.0,341.0,267.0,379.0,283.0,371.0,259.0,333.0,284.0,386.0,276.0,371.0,260.0,356.0
244.0,349.0,268.0,341.0,268.0,379.0,284.0,370.0,259.0,333.0,291.0,386.0,276.0,371.0,260.0,356.0
251.0,355.0,268.0,341.0,275.0,379.0,284.0,363.0,259.0,333.0,292.0,386.0,283.0,371.0,267.0,356.0
251.0,355.0,268.0,341.0,275.0,379.0,291.0,370.0,260.0,333.0,299.0,379.0,284.0,371.0,267.0,356.0
251.0,355.0,275.0,348.0,283.0,386.0,291.0,370.0,260.0,333.0,300.0,385.0,284.0,378.0,268.0,363.0
252.0,356.0,275.0,341.0,284.0,385.0,292.0,363.0,259.0,340.0,307.0,378.0,292.0,371.0,268.0,363.0
259.0,363.0,276.0,348.0,284.0,386.0,292.0,363.0,260.0,341.0,307.0,379.0,292.0,378.0,268.0,363.0
259.0,363.0,275.0,341.0,284.0,386.0,299.0,370.0,259.0,341.0,307.0,385.0,292.0,378.0,275.0,363.0
260.0,363.0,276.0,341.0,291.0,386.0,300.0,370.0,260.0,341.0,308.0,386.0,299.0,378.0,275.0,363.0
