rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
148.0,333.0,163.0,356.0,131.0,348.0,132.0,371.0,164.0,333.0,115.0,363.0,132.0,356.0,148.0,348.0
155.0,333.0,163.0,356.0,132.0,348.0,131.0,363.0,171.0,333.0,116.0,356.0,132.0,356.0,155.0,348.0
156.0,333.0,163.0,356.0,139.0,341.0,132.0,363.0,171.0,333.0,123.0,341.0,132.0,356.0,155.0,348.0
163.0,333.0,164.0,341.0,139.0,341.0,132.0,348.0,171.0,333.0,123.0,348.0,139.0,348.0,155.0,348.0
163.0,333.0,163.0,356.0,140.0,334.0,132.0,348.0,172.0,333.0,123.0,341.0,139.0,348.0,155.0,348.0
163.0,333.0,156.0,356.0,140.0,333.0,132.0,348.0,172.0,333.0,123.0,334.0,139.0,341.0,155.0,348.0
163.0,334.0,156.0,356.0,147.0,333.0,131.0,341.0,163.0,326.0,131.0,326.0,139.0,340.0,155.0,348.0
163.0,334.0,156.0,356.0,147.0,333.0,131.0,341.0,164.0,326.0,131.0,325.0,139.0,333.0,148.0,348.0
163.0,334.0,155.0,356.0,147.0,326.0,131.0,341.0,164.0,326.0,132.0,318.0,139.0,333.0,148.0,348.0
163.0,333.0,148.0,356.0,147.0,326.0,131.0,334.0,172.0,334.0,131.0,311.0,139.0,326.0,148.0,341.0
163.0,333.0,140.0,356.0,147.0,318.0,131.0,326.0,171.0,340.0,131.0,303.0,132.0,318.0,147.0,340.0
156.0,326.0,147.0,356.0,147.0,318.0,131.0,325.0,164.0,341.0,131.0,303.0,132.0,318.0,148.0,334.0
156.0,326.0,139.0,349.0,147.0,311.0,131.0,318.0,164.0,341.0,132.0,296.0,139.0,311.0,147.0,333.0
156.0,326.0,140.0,348.0,147.0,304.0,131.0,311.0,163.0,341.0,139.0,288.0,139.0,303.0,147.0,326.0
156.0,325.0,132.0,333.0,147.0,303.0,124.0,303.0,163.0,341.0,139.0,281.0,132.0,296.0,140.0,326.0
155.0,318.0,132.0,333.0,147.0,296.0,124.0,296.0,156.0,341.0,139.0,280.0,139.0,295.0,140.0,319.0
155.0,318.0,132.0,333.0,147.0,296.0,124.0,289.0,155.0,341.0,139.0,273.0,132.0,288.0,140.0,318.0
155.0,311.0,124.0,318.0,147.0,288.0,124.0,288.0,148.0,341.0,139.0,273.0,132.0,288.0,139.0,311.0
155.0,311.0,124.0,318.0,147.0,288.0,124.0,281.0,140.0,334.0,139.0,266.0,139.0,281.0,139.0,304.0
155.0,311.0,124.0,311.0,147.0,281.0,131.0,281.0,140.0,333.0,140.0,265.0,139.0,273.0,139.0,303.0
155.0,310.0,124.0,310.0,147.0,273.0,131.0,274.0,139.0,326.0,140.0,258.0,139.0,273.0,139.0,296.0
155.0,303.0,123.0,303.0,147.0,273.0,131.0,273.0,139.0,319.0,140.0,251.0,139.0,266.0,139.0,295.0
148.0,296.0,123.0,303.0,147.0,273.0,131.0,266.0,139.0,318.0,140.0,251.0,139.0,266.0,139.0,288.0
148.0,289.0,123.0,303.0,140.0,266.0,124.0,266.0,139.0,318.0,139.0,251.0,132.0,265.0,139.0,288.0
148.0,281.0,116.0,288.0,140.0,265.0,123.0,265.0,139.0,311.0,139.0,244.0,132.0,258.0,132.0,281.0
148.0,281.0,116.0,288.0,140.0,258.0,123.0,258.0,140.0,304.0,132.0,243.0,132.0,251.0,132.0,281.0
148.0,281.0,123.0,288.0,140.0,251.0,124.0,251.0,140.0,303.0,132.0,229.0,131.0,250.0,132.0,273.0
147.0,273.0,116.0,273.0,140.0,243.0,124.0,243.0,139.0,296.0,139.0,228.0,132.0,236.0,132.0,266.0
147.0,273.0,116.0,273.0,140.0,236.0,123.0,236.0,124.0,288.0,132.0,221.0,132.0,236.0,132.0,265.0
147.0,266.0,116.0,259.0,140.0,236.0,123.0,236.0,131.0,288.0,139.0,221.0,132.0,235.0,132.0,258.0
