rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
84.0,108.0,83.0,78.0,115.0,101.0,116.0,85.0,68.0,108.0,132.0,93.0,116.0,93.0,91.0,93.0
91.0,108.0,83.0,79.0,116.0,101.0,116.0,86.0,68.0,108.0,139.0,93.0,123.0,93.0,91.0,93.0
91.0,108.0,83.0,79.0,116.0,101.0,116.0,85.0,68.0,101.0,140.0,93.0,123.0,93.0,92.0,93.0
92.0,108.0,84.0,78.0,123.0,101.0,124.0,85.0,68.0,101.0,147.0,93.0,124.0,93.0,92.0,93.0
92.0,108.0,84.0,78.0,124.0,101.0,124.0,79.0,75.0,101.0,148.0,93.0,131.0,93.0,99.0,86.0
92.0,108.0,84.0,78.0,124.0,101.0,131.0,85.0,75.0,101.0,148.0,93.0,131.0,93.0,99.0,86.0
99.0,101.0,84.0,78.0,124.0,101.0,131.0,79.0,75.0,101.0,148.0,93.0,131.0,93.0,99.0,86.0
99.0,101.0,99.0,71.0,124.0,101.0,131.0,78.0,75.0,100.0,148.0,93.0,132.0,93.0,100.0,86.0
99.0,101.0,101.125,69.875,124.0,101.0,131.0,78.0,76.0,94.0,148.0,93.0,132.0,86.0,100.0,86.0
100.0,101.0,99.0,78.0,131.0,101.0,131.0,78.0,76.0,93.0,155.0,93.0,132.0,86.0,107.0,86.0
100.0,101.0,99.0,78.0,131.0,101.0,132.0,78.0,76.0,94.0,155.0,93.0,139.0,86.0,107.0,86.0
107.0,101.0,99.0,78.0,132.0,101.0,132.0,78.0,83.0,94.0,156.0,93.0,139.0,86.0,108.0,86.0
115.0,101.0,101.125,78.0,139.0,101.0,140.0,78.0,84.0,101.0,163.0,93.0,147.0,93.0,115.0,86.0
115.0,101.0,107.140625,79.75,140.0,101.0,148.0,85.0,84.0,101.0,171.0,93.0,148.0,93.0,121.015625,87.75
116.0,101.0,110.89453125,81.0625,147.0,101.0,148.0,79.0,91.0,101.0,172.0,93.0,155.0,93.0,124.76953125,89.0625
116.0,101.0,114.7080078125,80.640625,155.0,101.0,155.0,78.0,92.0,101.0,179.0,93.0,156.0,93.0,128.5830078125,88.640625
123.0,101.0,115.0,78.0,156.0,101.0,156.0,78.0,92.0,101.0,180.0,93.0,163.0,93.0,132.536376953125,88.41015625
123.0,101.0,117.65567016601562,77.64111328125,163.0,101.0,163.0,78.0,99.0,94.0,187.0,93.0,163.0,93.0,135.19204711914062,88.05126953125
127.1639175415039,100.0352783203125,121.81958770751953,76.6763916015625,163.0,101.0,163.0,78.0,100.0,94.0,187.0,93.0,164.0,86.0,139.35596466064453,87.0865478515625
131.0,101.0,123.6310567855835,75.43962097167969,163.0,101.0,164.0,78.0,107.0,93.0,188.0,93.0,171.0,86.0,141.1674337387085,85.84977722167969
131.0,101.0,126.5634343624115,75.12601852416992,164.0,101.0,171.0,78.0,108.0,93.0,188.0,93.0,172.0,86.0,144.0998113155365,85.53617477416992
132.0,101.0,128.5465287566185,75.04761791229248,164.0,101.0,172.0,78.0,108.0,93.0,195.0,86.0,172.0,86.0,146.0829057097435,85.45777416229248
132.0,101.0,130.16730235517025,74.15301775932312,171.0,101.0,172.0,78.0,115.0,93.0,195.0,93.0,179.0,86.0,147.70367930829525,84.56317400932312
140.0,101.0,139.0,71.0,171.0,101.0,179.0,78.0,115.0,93.0,196.0,86.0,179.0,86.0,150.7338727079332,85.21452397108078
147.0,101.0,140.0,71.0,172.0,101.0,179.0,78.0,116.0,93.0,196.0,86.0,180.0,86.0,154.21673408849165,84.0268154963851
148.0,101.0,147.0,71.0,179.0,100.0,180.0,78.0,124.0,93.0,203.0,86.0,180.0,86.0,155.0,85.0
148.0,101.0,150.97290823893854,70.99664806295186,180.0,101.0,180.0,78.0,131.0,93.0,204.0,86.0,188.0,86.0,155.0,86.0
155.0,101.0,153.59452176880586,71.24622907082085,187.0,100.0,188.0,78.0,131.0,93.0,211.0,86.0,195.0,86.0,156.0,86.0
156.0,101.0,158.54722346003928,71.15242669680447,188.0,101.0,195.0,78.0,132.0,93.0,211.0,93.0,196.0,86.0,163.0,86.0
163.0,101.0,155.0,78.0,188.0,101.0,195.0,78.0,132.0,93.0,212.0,93.0,196.0,86.0,164.0,86.0
163.0,101.0,156.0,78.0,195.0,101.0,196.0,78.0,139.0,93.0,219.0,93.0,203.0,86.0,164.0,86.0
163.0,101.0,163.0,78.0,196.0,101.0,196.0,78.0,140.0,93.0,220.0,93.0,203.0,86.0,171.0,86.0
164.0,101.0,163.0,78.0,196.0,101.0,196.0,78.0,140.0,93.0,220.0,86.0,204.0,86.0,172.0,86.0
172.0,101.0,163.375,77.125,204.0,94.0,203.0,78.0,147.0,93.0,227.0,86.0,211.0,86.0,172.0,86.0
179.0,101.0,168.921875,76.140625,204.0,94.0,204.0,78.0,148.0,93.0,227.0,86.0,211.0,86.0,179.0,85.0
179.0,101.0,179.0,71.0,211.0,93.0,211.0,78.0,155.0,93.0,228.0,86.0,212.0,86.0,180.0,79.0
180.0,101.0,179.0,71.0,212.0,94.0,212.0,78.0,156.0,93.0,235.0,86.0,219.0,86.0,187.0,85.0
187.0,100.0,180.0,71.0,219.0,93.0,212.0,78.0,163.0,93.0,236.0,86.0,220.0,85.0,188.0,79.0
190.125,98.875,180.0,71.0,220.0,93.0,220.0,71.0,163.0,93.0,236.0,86.0,220.0,85.0,191.125,77.875
195.0,101.0,181.90625,69.84375,220.0,94.0,220.0,78.0,164.0,93.0,243.0,86.0,227.0,86.0,193.03125,76.71875
195.0,101.0,184.8671875,70.9453125,220.0,100.0,227.0,78.0,171.0,93.0,244.0,86.0,227.0,86.0,195.0,85.0
195.0,101.0,187.3583984375,72.8681640625,227.0,100.0,228.0,78.0,171.0,93.0,251.0,86.0,228.0,86.0,196.0,86.0
195.0,101.0,196.0,71.0,227.0,101.0,228.0,78.0,172.0,93.0,252.0,86.0,235.0,86.0,203.0,85.0
196.0,101.0,196.0,71.0,228.0,101.0,236.0,78.0,179.0,93.0,252.0,86.0,236.0,86.0,203.0,85.0
196.0,101.0,203.0,71.0,228.0,101.0,236.0,78.0,179.0,93.0,259.0,86.0,243.0,86.0,205.25,85.0
203.0,101.0,205.90625,71.0,235.0,101.0,243.0,78.0,179.0,93.0,259.0,93.0,243.0,86.0,208.15625,85.0
211.0,101.0,204.0,71.0,236.0,101.0,243.0,78.0,180.0,93.0,260.0,86.0,244.0,86.0,211.5078125,85.875
211.0,101.0,205.6806640625,70.234375,244.0,94.0,244.0,78.0,187.0,93.0,267.0,86.0,244.0,86.0,213.1884765625,85.109375
212.0,100.0,211.0,71.0,244.0,100.0,244.0,78.0,195.0,93.0,267.0,86.0,251.0,86.0,216.483642578125,84.04296875
212.0,100.0,211.0,71.0,251.0,93.0,251.0,78.0,195.0,93.0,268.0,86.0,252.0,86.0,220.0,78.0
219.0,100.0,212.0,71.0,251.0,93.0,251.0,71.0,195.0,93.0,268.0,86.0,252.0,85.0,220.0,78.0
220.0,100.0,212.0,71.0,252.0,93.0,252.0,71.0,195.0,93.0,268.0,86.0,252.0,85.0,221.0,77.0
