rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,459.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,459.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,459.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,459.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,460.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,460.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,459.0,94.0,452.0,78.0,396.0,93.0,476.0,86.0,460.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,452.0,101.0,452.0,78.0,396.0,93.0,476.0,86.0,460.0,86.0,427.0,86.0
420.0,101.0,419.0,78.0,459.0,94.0,452.0,78.0,396.0,93.0,476.0,86.0,460.0,86.0,427.0,86.0
420.0,101.0,427.0,71.0,460.0,93.0,459.0,78.0,396.0,93.0,483.0,86.0,460.0,86.0,428.0,86.0
427.0,101.0,428.0,71.0,460.0,94.0,460.0,78.0,403.0,93.0,483.0,86.0,467.0,86.0,435.0,79.0
427.0,101.0,428.0,71.0,459.0,100.0,460.0,78.0,403.0,93.0,483.0,93.0,467.0,86.0,435.0,79.0
428.0,101.0,428.0,71.0,460.0,101.0,467.0,78.0,404.0,93.0,484.0,93.0,468.0,86.0,435.0,85.0
435.0,101.0,435.0,71.0,468.0,100.0,468.0,78.0,411.0,93.0,492.0,86.0,475.0,86.0,436.0,86.0
436.0,101.0,436.0,71.0,475.0,100.0,475.0,78.0,412.0,93.0,492.0,93.0,476.0,86.0,443.0,86.0
436.0,101.0,436.0,78.0,476.0,101.0,476.0,78.0,419.0,93.0,499.0,93.0,483.0,86.0,444.0,86.0
444.0,101.0,439.0,79.0,476.0,101.0,483.0,78.0,419.0,93.0,502.0,94.0,484.0,86.0,451.0,86.0
451.0,101.0,443.0,78.0,483.0,101.0,483.0,78.0,420.0,93.0,500.0,93.0,484.0,86.0,452.0,86.0
451.0,101.0,444.0,78.0,483.0,101.0,484.0,78.0,427.0,93.0,507.0,93.0,491.0,86.0,452.0,86.0
451.0,101.0,444.0,78.0,483.0,101.0,484.0,78.0,427.0,93.0,508.0,93.0,491.0,86.0,459.0,86.0
451.0,101.0,451.0,78.0,484.0,101.0,491.0,78.0,428.0,93.0,508.0,93.0,492.0,86.0,460.0,86.0
452.0,101.0,451.0,78.0,491.0,101.0,492.0,78.0,428.0,93.0,515.0,86.0,492.0,86.0,460.0,86.0
452.0,101.0,452.0,78.0,491.0,101.0,492.0,78.0,435.0,93.0,515.0,86.0,499.0,86.0,462.0,85.125
452.0,101.0,459.0,71.0,491.0,101.0,492.0,78.0,435.0,93.0,516.0,86.0,499.0,86.0,464.125,85.015625
459.0,101.0,459.0,71.0,492.0,101.0,499.0,78.0,435.0,93.0,516.0,93.0,500.0,86.0,467.0,85.0
459.0,101.0,459.0,71.0,492.0,101.0,499.0,78.0,435.0,93.0,516.0,93.0,500.0,86.0,467.0,85.0
460.0,101.0,460.0,71.0,492.0,101.0,499.0,78.0,435.0,93.0,516.0,93.0,500.0,86.0,467.0,85.0
460.25,101.0,460.25,71.0,492.0,101.0,499.0,78.0,435.0,93.0,516.0,93.0,500.0,86.0,467.25,85.0
460.34375,101.0,460.0,71.0,492.0,101.0,499.0,78.0,436.0,93.0,516.0,93.0,500.0,86.0,467.34375,85.0
460.4609375,101.0,460.0,71.0,492.0,101.0,499.0,78.0,436.0,93.0,516.0,93.0,500.0,86.0,467.4609375,85.0
460.490234375,101.0,460.029296875,71.0,492.0,101.0,499.0,78.0,436.0,93.0,516.0,93.0,500.0,86.0,467.490234375,85.0
467.0,101.0,460.040283203125,71.0,492.0,101.0,500.0,78.0,436.0,93.0,516.0,93.0,507.0,86.0,467.501220703125,85.0
467.0,101.0,461.85675048828125,71.0,499.0,101.0,500.0,78.0,443.0,93.0,523.0,93.0,507.0,86.0,469.31768798828125,85.0
467.0,101.0,464.9358673095703,71.0,499.0,101.0,500.0,78.0,443.0,93.0,523.0,93.0,507.0,86.0,472.3968048095703,85.0
468.0,101.0,465.7056465148926,71.0,500.0,101.0,500.0,78.0,444.0,93.0,523.0,93.0,507.0,86.0,476.0,86.0
468.0,101.0,466.6272683143616,71.125,500.0,101.0,507.0,78.0,451.0,93.0,523.0,93.0,508.0,86.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,507.0,78.0,451.0,93.0,524.0,86.0,508.0,86.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,507.0,78.0,451.0,93.0,524.0,93.0,508.0,86.0,476.0,86.0
468.0,101.0,468.0,78.0,508.0,94.0,508.0,78.0,451.0,93.0,524.0,93.0,508.0,86.0,483.0,86.0
475.0,101.0,468.0,78.0,508.0,93.0,508.0,78.0,451.0,93.0,524.0,93.0,515.0,86.0,483.0,86.0
475.0,101.0,468.0,78.0,508.0,93.0,508.0,78.0,451.0,93.0,524.0,93.0,515.0,86.0,483.0,86.0
475.0,101.0,468.0,78.0,508.0,94.0,508.0,78.0,451.0,93.0,531.0,86.0,515.0,86.0,483.0,86.0
475.0,101.0,468.0,78.0,508.0,94.0,508.0,78.0,451.0,93.0,524.0,93.0,515.0,86.0,483.0,86.0
468.0,101.0,468.0,78.0,500.0,101.0,508.0,78.0,451.0,93.0,524.0,93.0,508.0,86.0,483.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,507.0,78.0,451.0,93.0,524.0,93.0,508.0,86.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,507.0,78.0,451.0,93.0,524.0,93.0,508.0,86.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,507.0,78.0,451.0,93.0,523.0,93.0,507.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,499.0,101.0,507.0,78.0,451.0,93.0,523.0,93.0,507.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,499.0,101.0,500.0,79.0,451.0,93.0,523.0,93.0,507.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,499.0,101.0,507.0,85.0,451.0,93.0,523.0,94.0,507.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,499.0,101.0,508.0,85.0,451.0,93.0,523.0,94.0,507.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,508.0,86.0,451.0,93.0,523.0,100.0,507.0,93.0,476.0,86.0
468.0,101.0,467.125,78.875,500.0,101.0,508.0,86.0,451.0,93.0,523.0,100.0,508.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,508.0,86.0,451.0,93.0,523.0,101.0,508.0,93.0,476.0,86.0
468.0,101.0,467.0,78.0,500.0,101.0,508.0,86.0,451.0,93.0,523.0,101.0,508.0,93.0,476.0,86.0
