rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
195.0,18.0,195.0,41.0,163.0,18.0,163.0,40.0,212.0,33.0,140.0,33.0,156.0,26.0,180.0,26.0
188.0,19.0,180.0,41.0,163.0,18.0,155.0,34.0,204.0,33.0,139.0,26.0,155.0,26.0,179.0,26.0
187.0,19.0,179.0,41.0,155.0,18.0,148.0,33.0,203.0,33.0,139.0,26.0,148.0,26.0,179.0,26.0
180.0,18.0,179.0,41.0,148.0,18.0,148.0,34.0,196.0,33.0,132.0,33.0,148.0,26.0,172.0,26.0
180.0,18.0,172.0,41.0,147.0,18.0,147.0,40.0,195.0,33.0,131.0,33.0,140.0,26.0,171.0,26.0
180.0,18.0,172.0,41.0,140.0,18.0,140.0,34.0,195.0,33.0,124.0,33.0,139.0,26.0,171.0,26.0
179.0,18.0,172.0,41.0,140.0,18.0,140.0,33.0,188.0,33.0,123.0,33.0,139.0,26.0,164.0,25.0
179.0,18.0,171.0,40.0,139.0,18.0,139.0,33.0,187.0,33.0,116.0,26.0,132.0,26.0,163.0,25.0
171.0,18.0,164.0,40.0,132.0,18.0,132.0,33.0,180.0,33.0,115.0,26.0,131.0,26.0,156.0,25.0
164.0,18.0,163.0,41.0,132.0,18.0,131.0,33.0,180.0,33.0,115.0,33.0,131.0,26.0,155.0,26.0
163.0,18.0,163.0,41.0,132.0,18.0,124.0,33.0,180.0,33.0,108.0,26.0,124.0,26.0,155.0,26.0
156.0,18.0,163.0,41.0,131.0,18.0,124.0,34.0,179.0,33.0,108.0,26.0,124.0,26.0,148.0,26.0
156.0,18.0,156.0,41.0,131.0,18.0,124.0,34.0,179.0,33.0,107.0,26.0,123.0,26.0,148.0,26.0
155.0,19.0,148.0,41.0,124.0,18.0,123.0,34.0,172.0,33.0,107.0,26.0,123.0,26.0,147.0,26.0
155.0,18.0,148.0,41.0,124.0,18.0,123.0,34.0,172.0,33.0,107.0,26.0,123.0,26.0,147.0,26.0
148.0,18.0,148.0,41.0,123.0,18.0,123.0,40.0,172.0,33.0,100.0,26.0,116.0,26.0,147.0,26.0
148.0,18.0,148.0,41.0,123.0,18.0,123.0,40.0,171.0,33.0,100.0,26.0,116.0,26.0,147.0,26.0
148.0,18.0,148.0,41.0,123.0,18.0,116.0,33.0,171.0,33.0,100.0,26.0,116.0,26.0,140.0,26.0
148.0,18.0,148.0,41.0,116.0,18.0,116.0,33.0,171.0,33.0,100.0,26.0,116.0,26.0,140.0,26.0
148.0,18.0,147.0,41.0,116.0,18.0,115.0,33.0,164.0,33.0,99.0,26.0,115.0,25.0,139.0,26.0
148.0,18.0,140.0,40.0,116.0,11.0,115.0,33.0,164.0,33.0,99.0,26.0,108.0,18.0,139.0,26.0
147.0,11.0,147.0,34.0,116.0,11.0,115.0,33.0,164.0,33.0,99.0,26.0,108.0,18.0,139.0,25.0
147.0,11.0,147.0,33.0,115.0,11.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,19.0,139.0,25.0
147.0,11.0,147.0,34.0,115.0,11.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,19.0,139.0,25.0
140.0,11.0,147.0,33.0,115.0,18.0,115.0,33.0,163.0,26.0,99.0,26.0,108.0,19.0,139.0,25.0
147.0,18.0,140.0,40.0,115.0,18.0,115.0,33.0,156.0,33.0,99.0,26.0,108.0,19.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,156.0,33.0,99.0,26.0,108.0,19.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,163.0,33.0,92.0,25.0,108.0,19.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,163.0,33.0,92.0,19.0,108.0,18.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,163.0,33.0,92.0,19.0,108.0,18.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,163.0,33.0,99.0,25.0,108.0,19.0,132.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,108.0,33.0,163.0,33.0,99.0,26.0,108.0,19.0,139.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,25.0,139.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,25.0,139.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,25.0,139.0,26.0
147.0,18.0,140.0,41.0,115.0,18.0,115.0,33.0,163.0,33.0,99.0,26.0,108.0,25.0,139.0,26.0
