rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
124.0,41.0,147.0,56.0,115.0,78.0,132.0,79.0,147.0,41.0,123.0,101.0,123.0,85.0,131.0,56.0
116.0,48.0,140.0,63.0,115.0,86.0,132.0,86.0,140.0,41.0,123.0,108.0,123.0,93.0,131.0,56.0
116.0,56.0,140.0,64.0,116.0,86.0,132.0,93.0,139.0,41.0,124.0,108.0,124.0,93.0,131.0,63.0
116.0,63.0,140.0,70.0,115.0,93.0,132.0,100.0,139.0,48.0,124.0,116.0,123.0,101.0,124.0,71.0
116.0,63.0,140.0,71.0,116.0,100.0,132.0,101.0,132.0,48.0,124.0,116.0,124.0,101.0,124.0,71.0
116.0,63.0,140.0,71.0,116.0,101.0,132.0,101.0,132.0,48.0,131.0,116.0,124.0,108.0,124.0,78.0
116.0,64.0,140.0,78.0,116.0,108.0,139.0,108.0,132.0,55.0,124.0,131.0,124.0,109.0,124.0,78.0
115.0,78.0,139.0,78.0,115.0,115.0,132.0,116.0,131.0,56.0,124.0,131.0,124.0,116.0,124.0,86.0
115.0,78.0,139.0,85.0,115.0,116.0,132.0,116.0,131.0,63.0,124.0,138.0,123.0,123.0,124.0,86.0
115.0,79.0,139.0,86.0,115.0,123.0,132.0,123.0,124.0,63.0,131.0,138.0,124.0,123.0,124.0,93.0
115.0,86.0,139.0,93.0,116.0,123.0,132.0,123.0,124.0,71.0,131.0,145.0,124.0,131.0,123.0,100.0
108.0,93.0,139.0,100.0,115.0,130.0,132.0,131.0,124.0,71.0,131.0,146.0,124.0,131.0,123.0,101.0
115.0,93.0,139.0,108.0,115.0,131.0,132.0,131.0,124.0,78.0,131.0,153.0,124.0,138.0,123.0,108.0
115.0,101.0,139.0,108.0,115.0,138.0,139.0,138.0,124.0,86.0,124.0,161.0,124.0,145.0,124.0,116.0
115.0,108.0,139.0,108.0,116.0,146.0,132.0,146.0,124.0,93.0,131.0,168.0,124.0,153.0,124.0,123.0
116.0,116.0,140.0,123.0,116.0,153.0,132.0,153.0,131.0,100.0,131.0,169.0,124.0,154.0,131.0,123.0
116.0,123.0,140.0,124.0,116.0,153.0,132.0,161.0,131.0,101.0,124.0,176.0,124.0,161.0,124.0,131.0
116.0,123.0,139.0,131.0,115.0,168.0,132.0,168.0,131.0,108.0,124.0,184.0,123.0,168.0,124.0,138.0
115.0,131.0,139.0,138.0,115.0,168.0,132.0,175.0,124.0,116.0,124.0,191.0,123.0,176.0,124.0,146.0
115.0,145.0,139.0,146.0,115.0,176.0,132.0,183.0,124.0,123.0,131.0,198.0,124.0,183.0,124.0,153.0
115.0,146.0,139.0,153.0,115.0,183.0,132.0,183.0,124.0,124.0,124.0,206.0,124.0,191.0,124.0,153.0
115.0,153.0,139.0,154.0,116.0,190.0,132.0,191.0,124.0,131.0,131.0,206.0,124.0,191.0,124.0,161.0
116.0,161.0,139.0,168.0,115.0,198.0,132.0,198.0,124.0,139.0,124.0,221.0,123.0,199.0,124.0,175.0
116.0,161.0,139.0,168.0,116.0,198.0,132.0,205.0,131.0,146.0,124.0,221.0,124.0,206.0,124.0,176.0
116.0,168.0,139.0,169.0,115.0,206.0,132.0,206.0,131.0,153.0,124.0,228.0,123.0,213.0,124.0,183.0
116.0,176.0,140.0,183.0,115.0,213.0,132.0,213.0,132.0,160.0,124.0,235.0,123.0,221.0,124.0,183.0
115.0,183.0,140.0,183.0,116.0,221.0,132.0,221.0,131.0,161.0,131.0,236.0,124.0,221.0,124.0,191.0
115.0,183.0,139.0,191.0,115.0,228.0,132.0,228.0,131.0,168.0,124.0,251.0,124.0,229.0,124.0,198.0
115.0,191.0,139.0,198.0,116.0,229.0,132.0,229.0,124.0,176.0,131.0,251.0,124.0,236.0,124.0,206.0
115.0,198.0,139.0,205.0,116.0,236.0,132.0,236.0,124.0,183.0,131.0,258.0,124.0,243.0,124.0,206.0
115.0,205.0,139.0,206.0,116.0,243.0,132.0,243.0,124.0,183.0,131.0,265.0,124.0,251.0,124.0,213.0
116.0,206.0,139.0,213.0,123.0,251.0,139.0,251.0,124.0,191.0,131.0,266.0,124.0,251.0,124.0,221.0
116.0,213.0,139.0,220.0,116.0,258.0,139.0,258.0,124.0,198.0,131.0,273.0,124.0,258.0,124.0,228.0
116.0,221.0,139.0,221.0,123.0,259.0,139.0,258.0,131.0,205.0,131.0,273.0,131.0,258.0,131.0,235.0
