rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
219.0,48.0,211.0,25.0,243.0,41.0,243.0,18.0,196.0,40.0,259.0,19.0,244.0,26.0,220.0,33.0
220.0,48.0,212.0,25.0,251.0,33.0,244.0,18.0,196.0,34.0,267.0,25.0,251.0,26.0,227.0,33.0
227.0,41.0,220.0,18.0,252.0,34.0,251.0,18.0,204.0,33.0,268.0,26.0,252.0,26.0,228.0,26.0
227.0,41.0,227.0,18.0,252.0,41.0,251.0,18.0,204.0,33.0,268.0,26.0,259.0,26.0,228.0,26.0
228.0,41.0,227.0,18.0,252.0,41.0,259.0,18.0,211.0,33.0,275.0,26.0,259.0,26.0,235.0,26.0
235.0,41.0,228.0,18.0,259.0,41.0,259.0,18.0,212.0,33.0,276.0,26.0,260.0,26.0,236.0,26.0
236.0,41.0,235.0,18.0,260.0,41.0,259.0,18.0,219.0,33.0,283.0,26.0,267.0,26.0,243.0,26.0
244.0,41.0,243.0,18.0,268.0,41.0,267.0,18.0,220.0,33.0,291.0,26.0,275.0,26.0,251.0,26.0
244.0,41.0,243.0,18.0,276.0,34.0,268.0,18.0,227.0,33.0,292.0,19.0,276.0,26.0,251.0,26.0
259.0,41.0,251.0,18.0,284.0,33.0,275.0,18.0,228.0,33.0,299.0,18.0,284.0,25.0,259.0,26.0
259.0,41.0,252.0,18.0,284.0,33.0,283.0,18.0,236.0,33.0,307.0,18.0,291.0,25.0,260.0,26.0
260.0,41.0,259.0,18.0,291.0,33.0,291.0,11.0,243.0,33.0,307.0,18.0,292.0,19.0,267.0,26.0
267.0,41.0,267.0,11.0,292.0,40.0,292.0,18.0,243.0,33.0,315.0,26.0,299.0,26.0,268.0,26.0
275.0,41.0,267.0,18.0,299.0,34.0,299.0,18.0,251.0,33.0,316.0,26.0,300.0,26.0,275.0,26.0
276.0,41.0,268.0,18.0,300.0,34.0,300.0,18.0,259.0,33.0,316.0,26.0,307.0,26.0,283.0,26.0
276.0,41.0,275.0,18.0,300.0,41.0,307.0,18.0,259.0,33.0,323.0,26.0,308.0,26.0,284.0,26.0
283.0,41.0,283.0,18.0,308.0,41.0,308.0,18.0,267.0,33.0,324.0,33.0,315.0,26.0,291.0,26.0
291.0,41.0,284.0,18.0,315.0,40.0,315.0,18.0,267.0,33.0,332.0,26.0,316.0,26.0,292.0,26.0
291.0,41.0,284.0,18.0,323.0,34.0,316.0,18.0,268.0,33.0,340.0,25.0,324.0,26.0,299.0,26.0
299.0,41.0,292.0,18.0,331.0,33.0,323.0,18.0,275.0,33.0,347.0,19.0,331.0,25.0,300.0,26.0
307.0,41.0,300.0,18.0,332.0,33.0,331.0,18.0,283.0,33.0,348.0,19.0,339.0,26.0,308.0,26.0
308.0,41.0,307.0,18.0,340.0,33.0,339.0,18.0,291.0,33.0,356.0,19.0,340.0,26.0,315.0,26.0
316.0,41.0,308.0,18.0,347.0,34.0,340.0,18.0,292.0,33.0,364.0,26.0,348.0,26.0,323.0,26.0
