rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
124.0,108.0,123.0,78.0,155.0,109.0,156.0,86.0,100.0,93.0,179.0,108.0,163.0,101.0,131.0,93.0
124.0,108.0,123.0,78.0,156.0,108.0,163.0,86.0,100.0,93.0,179.0,101.0,163.0,101.0,131.0,93.0
124.0,108.0,124.0,77.0,156.0,108.0,163.0,86.0,100.0,93.0,179.0,100.0,163.0,100.0,131.0,93.0
124.0,108.0,123.0,78.0,156.0,108.0,163.0,86.0,100.0,93.0,179.0,94.0,163.0,94.0,132.0,93.0
131.0,108.0,124.0,79.0,156.0,108.0,163.0,86.0,100.0,93.0,179.0,93.0,163.0,93.0,132.0,93.0
131.0,108.0,124.0,85.0,163.0,108.0,163.0,86.0,107.0,93.0,180.0,93.0,164.0,93.0,139.0,93.0
131.0,108.0,123.0,86.0,163.0,101.0,163.0,85.0,107.0,100.0,180.0,93.0,163.0,93.0,139.0,93.0
131.0,108.0,124.0,86.0,164.0,101.0,156.0,79.0,108.0,100.0,180.0,93.0,164.0,93.0,139.0,93.0
132.0,108.0,124.0,86.0,164.0,101.0,163.0,78.0,108.0,101.0,187.0,86.0,164.0,86.0,139.0,93.0
132.0,108.0,124.0,86.0,164.0,101.0,163.0,78.0,108.0,101.0,187.0,86.0,164.0,86.0,139.0,93.0
132.0,108.0,124.0,86.0,164.0,101.0,163.0,78.0,108.0,101.0,187.0,86.0,171.0,86.0,140.0,93.0
139.0,108.0,131.0,86.0,171.0,101.0,163.0,78.0,108.0,101.0,187.0,86.0,171.0,86.0,140.0,93.0
139.0,108.0,131.0,86.0,171.0,100.0,163.0,78.0,115.0,100.0,187.0,85.0,171.0,86.0,140.0,93.0
139.0,108.0,131.0,86.0,171.0,100.0,164.0,78.0,115.0,100.0,188.0,85.0,171.0,86.0,140.0,93.0
139.0,108.0,131.0,85.0,171.0,100.0,164.0,78.0,115.0,94.0,188.0,85.0,172.0,86.0,140.0,93.0
140.0,108.0,139.0,78.0,172.0,101.0,164.0,78.0,115.0,93.0,195.0,85.0,172.0,86.0,147.0,93.0
140.0,108.0,139.0,78.0,172.0,101.0,171.0,78.0,115.0,93.0,195.0,86.0,179.0,86.0,147.0,93.0
140.0,108.0,139.0,78.0,179.0,101.0,172.0,78.0,116.0,93.0,196.0,86.0,180.0,86.0,147.0,93.0
147.0,101.0,140.0,78.0,179.0,101.0,179.0,78.0,116.0,93.0,203.0,86.0,187.0,86.0,148.0,86.0
147.0,101.0,147.0,78.0,180.0,101.0,180.0,78.0,123.0,93.0,204.0,93.0,188.0,86.0,155.0,86.0
148.0,101.0,147.0,78.0,187.0,101.0,188.0,78.0,131.0,93.0,204.0,93.0,195.0,86.0,156.0,86.0
155.0,101.0,148.0,78.0,188.0,101.0,195.0,78.0,131.0,93.0,211.0,93.0,196.0,86.0,163.0,86.0
156.0,101.0,148.0,78.0,188.0,101.0,195.0,78.0,132.0,93.0,212.0,93.0,196.0,86.0,163.0,86.0
163.0,101.0,156.0,78.0,195.0,101.0,195.0,78.0,139.0,93.0,219.0,93.0,203.0,86.0,164.0,86.0
164.0,101.0,163.0,78.0,196.0,101.0,196.0,78.0,140.0,93.0,220.0,93.0,203.0,93.0,171.0,86.0
164.0,101.0,164.0,78.0,203.0,101.0,196.0,78.0,147.0,93.0,227.0,86.0,204.0,86.0,172.0,93.0
172.0,101.0,171.0,78.0,204.0,101.0,204.0,78.0,147.0,93.0,228.0,93.0,212.0,86.0,179.0,86.0
179.0,101.0,172.0,78.0,212.0,101.0,211.0,78.0,155.0,93.0,235.0,93.0,219.0,86.0,180.0,86.0
180.0,101.0,179.0,78.0,219.0,101.0,219.0,78.0,156.0,93.0,243.0,86.0,220.0,86.0,185.75,86.0
180.0,101.0,183.84375,77.125,220.0,101.0,227.0,78.0,163.0,93.0,244.0,93.0,228.0,86.0,190.59375,85.125
187.0,101.0,188.1796875,77.78125,227.0,101.0,228.0,78.0,164.0,93.0,251.0,93.0,228.0,86.0,194.9296875,85.78125
195.0,101.0,192.138671875,77.9453125,227.0,101.0,228.0,78.0,171.0,93.0,252.0,93.0,235.0,86.0,198.888671875,85.9453125
196.0,101.0,196.00341796875,77.986328125,235.0,100.0,236.0,78.0,172.0,93.0,259.0,86.0,243.0,86.0,202.75341796875,85.986328125
201.0911865234375,100.01025390625,203.0,71.0,235.0,100.0,243.0,78.0,179.0,86.0,260.0,86.0,244.0,86.0,207.8446044921875,84.99658203125
211.0,100.0,207.14736938476562,69.0042724609375,244.0,94.0,244.0,78.0,180.0,86.0,267.0,86.0,251.0,86.0,211.99197387695312,83.0008544921875
212.0,101.0,211.0,71.0,251.0,94.0,252.0,78.0,188.0,93.0,268.0,93.0,252.0,86.0,220.0,85.0
219.0,101.0,219.0,71.0,252.0,101.0,259.0,78.0,195.0,93.0,275.0,93.0,260.0,86.0,227.0,85.0
220.0,101.0,220.0,71.0,252.0,101.0,259.0,78.0,196.0,93.0,276.0,93.0,260.0,86.0,227.0,86.0
227.0,101.0,220.5,71.125,252.0,101.0,260.0,78.0,196.0,93.0,283.0,93.0,260.0,86.0,227.0,86.0
227.0,101.0,227.0,71.0,259.0,101.0,260.0,78.0,203.0,93.0,284.0,93.0,267.0,86.0,235.0,86.0
228.0,101.0,228.0,71.0,267.0,100.0,268.0,78.0,204.0,93.0,291.0,86.0,268.0,86.0,236.0,85.0
236.0,100.0,235.0,71.0,268.0,94.0,268.0,78.0,211.0,86.0,292.0,86.0,275.0,86.0,243.0,78.0
243.0,94.0,236.0,71.0,268.0,101.0,275.0,78.0,212.0,86.0,299.0,86.0,276.0,86.0,247.75,75.375
243.0,94.0,243.0,71.0,275.0,101.0,283.0,78.0,219.0,86.0,300.0,93.0,283.0,86.0,251.34375,75.171875
244.0,94.0,243.0,71.0,283.0,101.0,284.0,78.0,220.0,86.0,307.0,93.0,284.0,86.0,256.41796875,76.021484375
247.00927734375,94.106201171875,244.0,71.0,284.0,101.0,291.0,78.0,227.0,86.0,308.0,93.0,292.0,86.0,259.42724609375,76.127685546875
259.0,94.0,252.0,71.0,291.0,100.0,292.0,78.0,235.0,86.0,316.0,86.0,292.0,86.0,263.3045654296875,76.15423583984375
260.0,94.0,259.0,71.0,292.0,101.0,300.0,78.0,236.0,86.0,323.0,86.0,307.0,86.0,269.28807067871094,75.14427947998047
260.0,101.0,267.0,71.0,300.0,101.0,307.0,78.0,243.0,93.0,324.0,93.0,308.0,86.0,275.03600883483887,75.14303493499756
275.0,101.0,268.0,71.0,307.0,101.0,308.0,78.0,244.0,86.0,332.0,86.0,315.0,86.0,279.75450110435486,77.7678793668747
275.0,101.0,275.0,71.0,308.0,101.0,315.0,78.0,251.0,86.0,332.0,93.0,316.0,86.0,283.0,85.0
